order_id,item_id,product_id,quantity,list_price_x,discount,timestamp_x,source_x,Exchange Rate,list_price_egp,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,timestamp_y,source_y,late_delivery,latency_days,weekend,Unnamed: 0,product_name,brand_id,category_id,model_year,list_price_y,timestamp,source
1,1,20,1,599.99,0.2,2024-04-28 18:26:15.337129,Database,47.861515,28716.43038485,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-04-28 18:26:13.902926,Database,False,,True,22,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-28 17:44:44.813359,DataLake
1,2,8,2,1799.99,0.07,2024-04-28 18:26:15.337129,Database,47.861515,86150.24838485,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-04-28 18:26:13.902926,Database,False,,True,7,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,2024-04-28 17:44:44.813359,DataLake
1,3,10,2,1549.0,0.05,2024-04-28 18:26:15.337129,Database,47.861515,74137.486735,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-04-28 18:26:13.902926,Database,False,,True,9,Surly Straggler - 2016,8,4,2016,1549.0,2024-04-28 17:44:44.813359,DataLake
1,4,16,2,599.99,0.05,2024-04-28 18:26:15.337129,Database,47.861515,28716.43038485,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-04-28 18:26:13.902926,Database,False,,True,18,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,2024-04-28 17:44:44.813359,DataLake
1,5,4,1,2899.99,0.2,2024-04-28 18:26:15.337129,Database,47.861515,138797.91488484998,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,2024-04-28 18:26:13.902926,Database,False,,True,3,Trek Fuel EX 8 29 - 2016,9,6,2016,2899.99,2024-04-28 17:44:44.813359,DataLake
2,1,20,1,599.99,0.07,2024-04-28 18:26:15.337129,Database,47.861515,28716.43038485,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,2024-04-28 18:26:13.902926,Database,False,,True,22,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-28 17:44:44.813359,DataLake
2,2,16,2,599.99,0.05,2024-04-28 18:26:15.337129,Database,47.861515,28716.43038485,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,2024-04-28 18:26:13.902926,Database,False,,True,18,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,2024-04-28 17:44:44.813359,DataLake
3,1,3,1,999.99,0.05,2024-04-28 18:26:15.337129,Database,47.861515,47861.03638485,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,2024-04-28 18:26:13.902926,Database,False,,True,2,Surly Wednesday Frameset - 2016,8,6,2016,999.99,2024-04-28 17:44:44.813359,DataLake
3,2,20,1,599.99,0.05,2024-04-28 18:26:15.337129,Database,47.861515,28716.43038485,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,2024-04-28 18:26:13.902926,Database,False,,True,22,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-28 17:44:44.813359,DataLake
4,1,2,2,749.99,0.1,2024-04-28 18:26:15.337129,Database,47.861515,35895.657634849995,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,2024-04-28 18:26:13.902926,Database,True,1.0,False,1,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99,2024-04-28 17:44:44.813359,DataLake
5,1,10,2,1549.0,0.05,2024-04-28 18:26:15.337129,Database,47.861515,74137.486735,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,2024-04-28 18:26:13.902926,Database,False,,False,9,Surly Straggler - 2016,8,4,2016,1549.0,2024-04-28 17:44:44.813359,DataLake
2,2,16,2,599.99,0.05,2024-04-28 18:26:15.337129,Database,47.861515,28716.43038485,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,2024-04-28 18:26:13.902926,Database,False,,True,18,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,2024-04-28 17:44:44.813359,DataLake
3,1,3,1,999.99,0.05,2024-04-28 18:26:15.337129,Database,47.861515,47861.03638485,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,2024-04-28 18:26:13.902926,Database,False,,True,2,Surly Wednesday Frameset - 2016,8,6,2016,999.99,2024-04-28 17:44:44.813359,DataLake
5,2,17,1,429.0,0.07,2024-04-28 18:26:15.337129,Database,47.861515,20532.589935,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,2024-04-28 18:26:13.902926,Database,False,,False,19,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429.0,2024-04-28 17:44:44.813359,DataLake
5,3,26,1,599.99,0.07,2024-04-28 18:26:15.337129,Database,47.861515,28716.43038485,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,2024-04-28 18:26:13.902926,Database,False,,False,28,Electra Townie Original 7D EQ - 2016,1,2,2016,599.99,2024-04-28 17:44:44.813359,DataLake
13,1,13,1,269.99,0.1,2024-04-28 18:26:15.337129,Database,47.861515,12922.13043485,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,2024-04-28 18:26:13.902926,Database,False,,True,12,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,269.99,2024-04-28 17:44:44.813359,DataLake
13,2,17,2,429.0,0.05,2024-04-28 18:26:15.337129,Database,47.861515,20532.589935,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,2024-04-28 18:26:13.902926,Database,False,,True,19,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429.0,2024-04-28 17:44:44.813359,DataLake
13,3,20,2,599.99,0.1,2024-04-28 18:26:15.337129,Database,47.861515,28716.43038485,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,2024-04-28 18:26:13.902926,Database,False,,True,22,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-28 17:44:44.813359,DataLake
13,4,16,2,599.99,0.05,2024-04-28 18:26:15.337129,Database,47.861515,28716.43038485,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,2024-04-28 18:26:13.902926,Database,False,,True,18,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,2024-04-28 17:44:44.813359,DataLake
14,1,6,1,469.99,0.07,2024-04-28 18:26:15.337129,Database,47.861515,22494.43343485,258,4,2016-01-09,2016-01-11,2016-01-12,1,3,2024-04-28 18:26:13.902926,Database,True,1.0,False,5,Surly Ice Cream Truck Frameset - 2016,8,6,2016,469.99,2024-04-28 17:44:44.813359,DataLake
